Timestamp,Tag ID,Status
2024-08-19 15:00:21,Scanning all available serial ports for RFID readers...,
2024-08-19 15:00:21,Attempting to check port /dev/cu.Bluetooth-Incoming-Port...,
2024-08-19 15:00:21,Successfully opened port /dev/cu.Bluetooth-Incoming-Port,
2024-08-19 15:00:21,Heartbeat: Script is running...,
2024-08-19 15:00:26,Heartbeat: Script is running...,
2024-08-19 15:00:31,Heartbeat: Script is running...,
2024-08-19 15:00:36,Heartbeat: Script is running...,
2024-08-19 15:00:41,Heartbeat: Script is running...,
2024-08-19 15:00:46,Heartbeat: Script is running...,
2024-08-19 15:00:51,Heartbeat: Script is running...,
2024-08-19 15:00:56,Heartbeat: Script is running...,
2024-08-19 15:01:01,Heartbeat: Script is running...,
2024-08-19 15:01:06,Heartbeat: Script is running...,
2024-08-19 15:01:11,Heartbeat: Script is running...,
2024-08-19 15:01:16,Heartbeat: Script is running...,
2024-08-19 15:01:21,Heartbeat: Script is running...,
2024-08-19 15:01:26,Heartbeat: Script is running...,
2024-08-19 15:01:31,Heartbeat: Script is running...,
2024-08-19 15:01:36,Heartbeat: Script is running...,
2024-08-19 15:01:41,Heartbeat: Script is running...,
2024-08-19 15:01:46,Heartbeat: Script is running...,
2024-08-19 15:01:51,Heartbeat: Script is running...,
2024-08-19 15:01:56,Heartbeat: Script is running...,
2024-08-19 15:02:01,Heartbeat: Script is running...,
2024-08-19 15:02:06,Heartbeat: Script is running...,
2024-08-19 15:02:11,Heartbeat: Script is running...,
2024-08-19 15:02:16,Heartbeat: Script is running...,
2024-08-19 15:02:21,Heartbeat: Script is running...,
2024-08-19 15:02:26,Heartbeat: Script is running...,
2024-08-19 15:02:31,Heartbeat: Script is running...,
2024-08-19 15:02:36,Heartbeat: Script is running...,
2024-08-19 15:02:41,Heartbeat: Script is running...,
2024-08-19 15:02:46,Heartbeat: Script is running...,
2024-08-19 15:02:51,Heartbeat: Script is running...,
2024-08-19 15:02:56,Heartbeat: Script is running...,
2024-08-19 15:03:01,Heartbeat: Script is running...,
2024-08-19 15:03:06,Heartbeat: Script is running...,
